mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.027932484944661457,0.004426579654791579,0.01692803700764974,0.003096081161224644,,gini,5,2,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.08341439521955282,0.08852344509232264,0.06655887569927685,0.07949890533705077,0.00938469935304138,262
0.027643521626790363,0.004257358035110876,0.017773548762003582,0.0018873029223858322,,gini,5,2,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.08341439521955282,0.08852344509232264,0.06655887569927685,0.07949890533705077,0.00938469935304138,262
0.03153578440348307,0.0014395287127884453,0.016506274541219074,0.00208089005384083,,gini,5,2,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.0820999115826702,0.08852344509232264,0.06655887569927685,0.07906074412475657,0.009220917571240292,266
0.027405659357706707,0.00427500244533609,0.016940911610921223,0.0034360230857949613,,gini,5,4,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.0820999115826702,0.08852344509232264,0.06655887569927685,0.07906074412475657,0.009220917571240292,266
0.025914430618286133,0.0032013463335690984,0.016313711802164715,0.00270849262916617,,gini,5,4,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.0820999115826702,0.08852344509232264,0.06655887569927685,0.07906074412475657,0.009220917571240292,266
0.02928018569946289,0.004206296825074554,0.019330501556396484,0.0009003945953762856,,gini,5,4,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.0820999115826702,0.08852344509232264,0.06655887569927685,0.07906074412475657,0.009220917571240292,266
0.029935598373413086,0.0038367653978031704,0.01884770393371582,0.0008494112856085657,,gini,7,1,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.11136011066646904,0.1176587700647435,0.09368910488273882,0.10756932853798379,0.01014605782536857,173
0.03102564811706543,0.000646791800929078,0.018171072006225586,0.00168143953115249,,gini,7,1,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.11136011066646904,0.1176587700647435,0.08611334730698125,0.10504407601273126,0.01363078976806794,185
0.028585116068522137,0.0017145038960616446,0.014204978942871094,0.0009362607644975499,,gini,7,1,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.11663799968147792,0.12532267412075102,0.09368910488273882,0.11188325956165592,0.013344820240810329,152
0.0331118106842041,0.004175506142125781,0.01740431785583496,0.002800105991465116,,gini,7,2,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.11795351725987564,0.12532267412075102,0.08611334730698125,0.1097965128958693,0.017014608770956504,162
0.027405500411987305,0.0034261727756018856,0.017988840738932293,0.002510689480030924,,gini,7,2,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.11795351725987564,0.12532267412075102,0.08611334730698125,0.1097965128958693,0.017014608770956504,162
0.028480132420857746,0.0009618020676501339,0.013338009516398111,0.0010596545211530803,,gini,7,2,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.11663799968147792,0.12532267412075102,0.09368910488273882,0.11188325956165592,0.013344820240810329,152
0.028412262598673504,0.00450180967893249,0.017287492752075195,0.0023375995728052504,,gini,7,4,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.11663799968147792,0.10702110389610389,0.09603992767979906,0.10656634375246028,0.008415273718573537,177
