Feature,Importance
categorical__Target_Protein_UniProt_P09884,0.06896284340102961
categorical__Target_Protein_UniProt_Q99835,0.06893922215808315
categorical__Current_Use_Chronic idiopathic constipation,0.06889200386062887
categorical__Target_Protein_UniProt_P25092,0.06889200386062887
categorical__Target_Protein_UniProt_P24228,0.06870037145451387
categorical__Current_Use_Calcium renal calculus,0.0685379231426583
categorical__Current_Use_Prostatic Neoplasms,0.06830843708264757
categorical__Current_Use_Infection caused by Enterobacter,0.06824232287875878
categorical__Target_Protein_UniProt_P00915; P00918; P22748; Q13621,0.0681810794434728
categorical__Target_Protein_UniProt_O14746,0.06813328831426249
categorical__Current_Use_Addison Disease,0.06785875317554152
categorical__Target_Protein_UniProt_P04150; P08235; P10275,0.06785875317554152
categorical__Target_Protein_UniProt_P02918; P02919; P0AD65; P0AD68,0.06763328899217023
categorical__Drug_Class_Cephalosporins,0.06763328899217023
categorical__Drug_Class_Antidiarrheals,0.06758494389117535
categorical__Current_Use_Ascariasis,0.06755629386153736
categorical__Drug_Class_Tubulin Modulators,0.06755629386153736
categorical__Target_Protein_UniProt_P68371; Q71U36,0.06755629386153736
categorical__Target_Protein_UniProt_Q9NR96; Q9NYK1,0.06754206404585691
"categorical__Current_Use_Lupus Erythematosus, Discoid",0.06754206404585691
categorical__Target_Protein_UniProt_P00533; Q14524; Q15858; Q9Y5Y9,0.06746437260597972
categorical__Current_Use_Hemorrhoids,0.06746437260597972
categorical__Current_Use_Haemophilus influenzae pneumonia,0.06743336413928912
categorical__Target_Protein_UniProt_P02918; P02919; P08506; P0AD68; P0AEB2,0.06743336413928912
"categorical__Drug_Class_Muscle Relaxants, Central",0.06718334847892071
categorical__Target_Protein_UniProt_P29274; P29275; P30542,0.0671352049040396
categorical__Target_Protein_UniProt_P07437; Q9H4B7,0.06707415405234451
categorical__Target_Protein_UniProt_P0A3M6; Q75Y35; Q7CRA4; Q8DR59,0.06693578677278794
categorical__Drug_Class_Antidiuretic Agents,0.06682287615209301
categorical__Current_Use_Bedwetting,0.06682287615209301
categorical__Target_Protein_UniProt_P30518; P37288; P47901,0.06682287615209301
categorical__Current_Use_Pulmonary Cystic Fibrosis,0.06678700401281215
categorical__Current_Use_Acute Coronary Syndrome,0.06671621975398975
categorical__Target_Protein_UniProt_P16455; P17174; P32929; P35520; P48506; P48507; P48637; P49589; Q16878; Q9BZV2; Q9HA77; Q9Y600; Q9Y697,0.06661874505727058
categorical__Target_Protein_UniProt_P21397,0.06656371116707312
categorical__Target_Protein_UniProt_O76074; Q9HCR9,0.06647051845431275
categorical__Target_Protein_UniProt_O43525; O43526; P09917; P14555; P23219; P35354; P35499; P78348,0.0664560760600286
categorical__Current_Use_Hyperinsulinism,0.06623403241079531
categorical__Target_Protein_UniProt_P00915; P00918; P05023; P55017; Q12791; Q14654,0.06623403241079531
categorical__Target_Protein_UniProt_P00519; P06239; P07948; P07949; P10721; P11274; P11362; P12931; P16234; P21802; P22455; P22607; P35968; P36888; Q02763,0.06601961140827535
categorical__Target_Protein_UniProt_Q96RI1,0.06597616599678796
categorical__Target_Protein_UniProt_P0AC13; P0C002; P53848,0.06576253491742143
"categorical__Drug_Class_Anti-Infective Agents, Local",0.06576253491742143
