Record_#,Drug_Name,DrugBank_ID,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,TPSA,Rotatable_Bonds,Drug_Class,Target_Protein_UniProt,Current_Use,Repurposed_Use,Repurposed_Category
538,Magnesium salicylate,DB01397,298.53,-0.87,2,6,120.72,2,,P23219; P35354,Arthralgia,back pain; bursitis; degenerative polyarthritis; dysmenorrhea; fever; headache disorders; pain; rheumatoid arthritis; shoulder tendinitis; synovitis,Arthritis
539,Mannitol,DB00742,182.17,-3.59,6,6,121.38,5,Sweetening Agents,,Cerebral Edema,cystic fibrosis; edema; ocular hypertension; pseudotumor cerebri,Heart
540,Masoprocol,DB00179,302.37,3.57,4,4,80.92,5,Antineoplastic Agents,P09917,Actinic keratosis,,Others
541,Mazindol,DB00579,284.75,2.61,1,3,35.83,1,Adrenergic Uptake Inhibitors,P23975; P31645; Q01959,Obesity,,Others
542,Mebendazole,DB00643,295.3,2.97,2,4,84.08,3,Tubulin Modulators,P68371; Q71U36,Ascariasis,enterobiasis; infection by trichuris trichiura,Infection
543,Meclofenamic acid,DB00939,296.15,4.74,2,2,49.33,3,"Anti-Inflammatory Agents, Non-Steroidal",O43525; O43526; P09917; P23219; P35354,Degenerative polyarthritis,dysmenorrhea; menorrhagia; pain; rheumatoid arthritis,Arthritis
544,Medroxyprogesterone Acetate,DB00603,386.53,4.66,0,4,60.44,2,"Antineoplastic Agents, Hormonal",P03372; P06401,Atrophic Vaginitis,endometrial carcinoma; endometriosis; hot flushes; metrorrhagia; secondary malignant neoplasm of kidney; secondary physiologic amenorrhea,Cancer
545,Medrysone,DB00253,344.5,3.94,1,3,54.37,1,Anti-Inflammatory Agents,P04150,Allergic Conjunctivitis,corneal ulcer; corneal abrasion; cyclitis; herpes zoster keratitis; iridocyclitis; iritis; punctate keratopathy; rosacea; uveitis,Infection
546,Mefenamic acid,DB00784,241.29,3.75,2,2,49.33,3,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P35354,Dysmenorrhea,pain,Pain
547,Mefloquine,DB00358,378.32,4.45,2,3,45.15,2,Antimalarials,P29274; P69905,"Malaria, Vivax",,Others
548,Megestrol acetate,DB00351,370.49,4.19,0,4,60.44,2,"Antineoplastic Agents, Hormonal",P04150; P06401,Endometrial Carcinoma,hormone receptor positive malignant neoplasm of breast; nutritional deficiency associated with aids,Cancer
549,Melatonin,DB01065,232.28,1.86,2,2,54.12,4,Antioxidants,P03372; P05164; P11678; P16083; P27797; P46597; P48039; P49286; P62158,Sleep Initiation and Maintenance Disorders,,Others
550,Meloxicam,DB00814,351.41,1.95,2,6,99.6,2,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P35354,Degenerative polyarthritis,rheumatoid arthritis,Arthritis
551,Melphalan,DB01042,305.2,1.93,2,3,66.56,8,,,Malignant neoplasm of ovary,multiple myeloma,Cancer
552,Menthol,DB00825,156.27,2.44,1,1,20.23,1,Antipruritics,O75762; P41145; Q7Z2W7; Q8NET8,Arthritic pains,back pain; diaper rash; mouth irritation; pruritus; scurfiness of scalp; seborrheic dermatitis; skin irritation; sprains and strains; tinea versicolor,Skin
553,Mepenzolate,DB04843,340.44,2.7,1,3,46.53,4,Cholinergic Antagonists,P11229; P20309,Gastric ulcer,peptic ulcer,Stomach
554,Mercaptopurine,DB01033,152.18,1.02,2,3,57.36,0,Immunosuppressive Agents,P00492; Q06203,Acute Promyelocytic Leukemia,acute lymphocytic leukemia,Cancer
555,Meropenem,DB00760,383.47,-0.31,3,6,110.18,5,Anti-Bacterial Agents,P24228,Abdominal Abscess,"complicated appendicitis; infection due to pseudomonas aeruginosa; intraabdominal infections; meningitis, bacterial; meningitis, pneumococcal; meningococcal meningitis; peritonitis; streptococcal meningitis",Infection
556,Mesalazine,DB00244,153.14,0.67,3,3,83.55,1,"Anti-Inflammatory Agents, Non-Steroidal",O14920; O15111; P05164; P09917; P23219; P35354; P37231,Chronic ulcerative proctitis,chronic ulcerative rectosigmoiditis; ulcerative colitis; ulcerative colitis in remission,Stomach
557,Mesoridazine,DB00933,386.59,4.9,0,4,23.55,4,Antipsychotic Agents,P14416; P28223,Schizophrenia,,Others
558,Mestranol,DB01357,310.44,3.92,1,2,29.46,1,,P03372,Endometriosis,female hypogonadism syndrome; menorrhagia,Others
559,Metaxalone,DB00660,221.26,1.79,1,3,47.56,3,Neuromuscular Agents,,Muscle Spasticity,,Others
560,Methacycline,DB00931,442.42,-1.06,5,9,178.46,2,Anti-Bacterial Agents,,Bacterial enteritis,,Others
561,Methadone,DB00333,309.45,4.29,0,2,20.31,7,"Analgesics, Opioid",P35372; P41143; P46098; Q8TCU5; Q9GZZ6,Opioid withdrawal,severe pain,Pain
562,Methantheline,DB00940,340.44,3.95,0,3,35.53,6,Muscarinic Antagonists,P11229; P25021,Gastric ulcer,peptic ulcer; urinary incontinence,Stomach
563,Methazolamide,DB00703,236.28,-1.42,1,5,107.41,1,,P00915; P00918; P22748; P43166,Angle Closure Glaucoma,"glaucoma, open-angle; secondary glaucoma",Eye
564,Methimazole,DB00763,114.17,1.08,1,1,20.72,0,Antithyroid Agents,P07202,Hyperthyroidism,,Others
565,Methocarbamol,DB00423,241.24,0.53,2,5,91.01,6,"Muscle Relaxants, Central",P00915,Muscle Spasticity,,Others
566,Methotrexate,DB00563,454.45,0.27,5,10,210.54,9,Antirheumatic Agents,P00374,Acute lymphocytic leukemia,"burkitt lymphoma; cancer of head and neck; gestational trophoblastic neoplasms; lymphoma, non-hodgkin; malignant epithelial neoplasm of female breast; malignant neoplasm of lung; meningeal leukemia; mycosis fungoides; osteosarcoma of bone; psoriasis; rheumatoid arthritis",Cancer
567,Methoxamine,DB00723,211.26,1.08,2,4,64.71,4,Vasoconstrictor Agents,P25100; P35348; P35368,Paroxysmal supraventricular tachycardia,,Others
568,Methsuximide,DB05246,203.24,1.33,0,2,37.38,1,Anticonvulsants,O43497,Absence Epilepsy,epilepsy,Brain
569,Methyclothiazide,DB00232,360.24,0.6,2,5,109.57,2,Sodium Chloride Symporter Inhibitors,P00915; P00918; P22748; Q13621,Edema,hypertensive disease; renal disease with edema nos,Kidney
570,Methyldopa,DB00968,211.22,0.44,4,4,103.78,3,Antihypertensive Agents,P08913; P20711,Hypertensive disease,,Others
571,Methylergometrine,DB00353,339.44,1.92,3,3,68.36,4,Oxytocics,P21728,Postpartum Hemorrhage,,Others
572,Methylnaltrexone,DB06800,356.44,1.67,2,4,66.76,2,Narcotic Antagonists,P35372; P41145,Drug-induced constipation,,Others
